participant_id,study_group,mean_delta_q01_q25
P11,Others,1.24
P09,Others,1.24
P07,Master_PhD,1.24
P14,Others,1.2
P02,Master_PhD,1.2
P01,Master_PhD,1.08
P03,Master_PhD,1.0
P10,Master_PhD,0.96
P12,Master_PhD,0.8
P04,Master_PhD,0.76
P00,Others,0.72
P05,Master_PhD,0.68
P06,Master_PhD,0.52
P08,Others,0.52
P13,Others,0.28
