analysis,label,n,mean_pre,mean_post,mean_diff,median_diff,ttest_p,ttest_stat,cohens_d,wilcoxon_p,wilcoxon_stat,wilcoxon_r,mean,median,midpoint,ttest_p_fdr,wilcoxon_p_fdr
H2,H2_composite_shared,15,49.266666666666666,71.66666666666667,22.4,24.0,2.388332026360656e-08,11.149674570998448,2.8788335952739543,0.0003225579218963121,0.0,0.8809489995763016,,,,,
H2_item,Q01,15,3.2666666666666666,3.6,0.3333333333333333,0.0,0.09614484350543491,1.7837651700316892,0.4605661864718383,0.0477903522728147,10.0,0.43033148291193535,,,,0.10450526467982055,0.05194603507914642
H2_item,Q02,15,2.3333333333333335,3.466666666666667,1.1333333333333333,1.0,0.0005689477473762609,4.431791590206959,1.1442836681822426,0.0012558331315113088,0.0,0.7802595923450997,,,,0.0010159781203147517,0.0030830716145482957
H2_item,Q03,15,3.1333333333333333,3.1333333333333333,0.0,0.0,1.0,0.0,0.0,0.5,10.5,0.0,,,,1.0,0.5
H2_item,Q04,15,2.3333333333333335,2.4,0.06666666666666667,0.0,0.3342819433946577,0.9999999999999998,0.2581988897471611,0.15865525393145707,0.0,0.2581988897471611,,,,0.3482103577027684,0.16526588951193447
H2_item,Q05,15,2.0,2.533333333333333,0.5333333333333333,0.0,0.05580383343849107,2.0855489836268037,0.5384864320857611,0.032799846073535935,0.0,0.47538268854152843,,,,0.0664331350458227,0.03727255235629084
H2_item,Q06,15,2.6,3.0,0.4,0.0,0.08241787787947831,1.8708286933869707,0.48304589153964794,0.02939086067767943,0.0,0.48795003647426666,,,,0.09365667940849809,0.034989119854380274
H2_item,Q07,15,2.4,3.4,1.0,1.0,0.0009199418386094354,4.183300132670377,1.0801234497346435,0.0020082573300163734,0.0,0.7428025215057582,,,,0.001437409122827243,0.0031379020781505834
H2_item,Q08,15,2.2,3.066666666666667,0.8666666666666667,1.0,0.002540441499870769,3.666494486315481,0.946684805630745,0.002943990679779778,0.0,0.7110681947099659,,,,0.003528390972042735,0.004088875944138581
H2_item,Q09,15,2.1333333333333333,3.0,0.8666666666666667,1.0,0.0001239369002034489,5.245152801108538,1.354292629800437,0.0008831683242050062,0.0,0.8073734277593312,,,,0.0004426317864408889,0.0030830716145482957
H2_item,Q10,15,2.066666666666667,3.066666666666667,1.0,1.0,0.0009199418386094354,4.183300132670377,1.0801234497346435,0.0020082573300163734,0.0,0.7428025215057582,,,,0.001437409122827243,0.0031379020781505834
